batch,heads_q,heads_kv,seq_q,seq_kv,actual_cycles,sim_cycles
1,32,8,128,1024,34910,27220
1,32,8,128,2048,58043,54147
1,32,8,128,4096,104306,107997
1,32,8,128,8192,197560,215700
2,32,8,128,1024,35306,54441
2,32,8,128,2048,60605,108291
2,32,8,128,4096,111279,215993
2,32,8,128,8192,214296,431398
4,32,8,128,1024,37504,108878
4,32,8,128,2048,62495,216581
4,32,8,128,4096,115240,431984
4,32,8,128,8192,206534,862793
8,32,8,128,1024,77748,217754
8,32,8,128,2048,125540,433158
8,32,8,128,4096,216666,863967
8,32,8,128,8192,408713,1725582
